2016-06-06 08:40:28,056 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:40:28,058 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:40:28,070 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:41:05,906 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:41:05,913 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:41:05,914 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:41:05,919 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:42:11,505 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:42:11,517 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:42:11,519 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:42:11,527 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-06 08:42:21,231 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:42:21,239 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-06 08:42:21,241 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-06 08:42:21,246 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-07 17:17:19,604 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/maven-metadata.xml
2016-06-07 17:17:19,938 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/maven-metadata.xml
2016-06-07 17:17:20,074 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/jboss-forge-html5-1.0.0-20141008.164625-12.pom
2016-06-07 17:17:20,290 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/jboss-forge-html5-1.0.0-20141008.164625-12.pom
2016-06-07 17:17:20,842 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/jboss-forge-html5-1.0.0-20141008.164625-12.jar
2016-06-07 17:17:21,179 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/jboss-forge-html5-1.0.0-20141008.164625-12.jar
2016-06-07 17:17:45,696 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/maven-metadata.xml
2016-06-07 17:17:45,926 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repository.jboss.org/nexus/content/repositories/snapshots/org/jboss/tools/archetypes/jboss-forge-html5/1.0.0-SNAPSHOT/maven-metadata.xml
2016-06-07 17:17:46,609 [ModalContext] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' E:\JAVA work\Spring WorkPlace\jboss-forge-html5\pom.xml
2016-06-07 17:17:47,035 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jboss/spec/jboss-javaee-6.0/3.0.2.Final/jboss-javaee-6.0-3.0.2.Final.pom
2016-06-07 17:17:47,126 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jboss/spec/jboss-javaee-6.0/3.0.2.Final/jboss-javaee-6.0-3.0.2.Final.pom
2016-06-07 17:17:47,166 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jboss/jboss-parent/10/jboss-parent-10.pom
2016-06-07 17:17:47,260 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jboss/jboss-parent/10/jboss-parent-10.pom
2016-06-07 17:17:51,507 [ModalContext] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.jboss.tools.example.forge:jboss-forge-html5:0.0.1-SNAPSHOT @ E:\JAVA work\Spring WorkPlace\jboss-forge-html5\pom.xml.
2016-06-07 17:17:51,613 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/validation/validation-api/1.0.0.GA/validation-api-1.0.0.GA.pom
2016-06-07 17:17:51,687 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/validation/validation-api/1.0.0.GA/validation-api-1.0.0.GA.pom
2016-06-07 17:17:51,758 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/javax/validation/validation-api/1.0.0.GA/validation-api-1.0.0.GA.jar
2016-06-07 17:17:51,967 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/javax/validation/validation-api/1.0.0.GA/validation-api-1.0.0.GA.jar
2016-06-07 17:17:54,424 [ModalContext] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jboss-forge-html5/src/main/java
2016-06-07 17:17:54,424 [ModalContext] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jboss-forge-html5/src/main/resources
2016-06-07 17:17:54,431 [ModalContext] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jboss-forge-html5/src/test/java
2016-06-07 17:17:57,421 [ModalContext] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 10 sec
2016-06-07 17:17:58,690 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-07 17:17:58,700 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-06-07 17:17:58,731 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-07 17:17:58,731 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\jboss-forge-html5\src\test\resources
2016-06-07 17:18:50,327 [Worker-403] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 17:18:50,340 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-07 17:18:50,341 [Worker-403] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-07 17:18:50,356 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-07 17:18:50,373 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-07 17:18:50,376 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-07 17:18:50,377 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-07 17:18:50,377 [Worker-403] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\jboss-forge-html5\src\test\resources
2016-06-09 07:01:39,675 [Worker-1023] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' E:\JAVA work\Spring WorkPlace\ApiDesign\pom.xml
2016-06-09 07:01:42,606 [Worker-1023] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.jboss.tools.example.forge:ApiDesign:0.0.1-SNAPSHOT @ E:\JAVA work\Spring WorkPlace\ApiDesign\pom.xml.
2016-06-09 07:01:45,298 [Worker-1023] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ApiDesign/src/main/java
2016-06-09 07:01:45,298 [Worker-1023] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ApiDesign/src/main/resources
2016-06-09 07:01:45,303 [Worker-1023] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ApiDesign/src/test/java
2016-06-09 07:01:46,714 [Worker-1023] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 7 sec
2016-06-09 07:01:48,322 [Worker-1022] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-09 07:01:48,322 [Worker-1022] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-09 07:01:48,323 [Worker-1022] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-09 07:01:48,323 [Worker-1022] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\ApiDesign\src\test\resources
2016-06-09 11:57:15,471 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@622b9bab{HTTP/1.1}{127.0.0.1:0}
2016-06-09 11:57:15,505 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@6cdca9e2{/help,null,UNAVAILABLE}
2016-06-09 12:06:37,820 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-09 12:06:37,829 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-09 12:06:37,834 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-06-09 12:06:37,834 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\ApiDesign\src\test\resources
2016-06-09 12:06:40,008 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 12:06:40,019 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\main\resources
2016-06-09 12:06:40,022 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 12:06:40,030 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\JAVA work\Spring WorkPlace\SpringFirst\src\test\resources
2016-06-09 12:06:40,833 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
